camera,epoch_ms,interval_ms,framesDecoded,framesDropped,freezeCount,totalFreezesDuration,packetsLost,jitterBufferDelay,jitterBufferEmittedCount,decoded_fps,jitter_buffer_ms
b1269e28,1790072123969,1013.260986328125,20,0,0,0,0,1.5483290000000096,20,19.738251319116106,77.41645000000048
1ac2ffac,1790072123969,1013.217041015625,26,0,0,0,0,0.5781910000000003,26,25.660839630113415,22.238115384615398
d1f37ed1,1790072123969,1013.208984375,25,0,0,0,0,0.5913380000000004,25,24.674080456778913,23.653520000000018
06e9e5b9,1790072123969,1013.205078125,25,0,0,0,0,0.5446179999999998,25,24.674175583746656,21.784719999999993
e0606b55,1790072123969,1012.97509765625,25,0,0,0,0,0.5326529999999998,25,24.679777477100107,21.306119999999993
c7e22c1f,1790072123969,1012.836181640625,25,0,0,0,0,0.5024489999999986,25,24.68316244341132,20.097959999999944
b5e8f409,1790072123969,1012.80517578125,21,0,0,0.0,0,0.7571330000000032,20,20.734491195506756,37.85665000000016
b1269e28,1790072124986,1016.570068359375,20,0,0,0,0,1.7045189999999906,20,19.674000467353576,85.22594999999953
1ac2ffac,1790072124986,1016.7080078125,25,0,0,0,0,0.562386,25,24.589164054868416,22.495440000000002
d1f37ed1,1790072124986,1016.69580078125,26,0,0,0,0,0.592257,26,25.573037657892424,22.779115384615388
06e9e5b9,1790072124986,1016.678955078125,26,0,0,0,0,0.6214639999999996,26,25.573461386344988,23.902461538461523
e0606b55,1790072124986,1016.64794921875,26,0,0,0,0,0.608473,26,25.574241329045986,23.402807692307697
c7e22c1f,1790072124986,1016.64697265625,26,0,0,0,0,0.5661210000000025,26,25.574265894943213,21.773884615384716
b5e8f409,1790072124986,1016.635009765625,20,0,0,0.0,0,0.7522680000000008,20,19.67274371616496,37.61340000000004
b1269e28,1790072125997,1010.97998046875,21,0,0,0,0,1.7377380000000073,21,20.77192467279437,82.74942857142892
1ac2ffac,1790072125997,1010.873046875,25,0,0,0,0,0.6109190000000027,25,24.731097616347256,24.436760000000103
d1f37ed1,1790072125997,1010.923095703125,25,0,0,0,0,0.5623760000000004,25,24.729873228004358,22.495040000000017
06e9e5b9,1790072125997,1010.97412109375,25,0,0,0,0,0.5599659999999993,25,24.728625073956458,22.398639999999972
e0606b55,1790072125997,1011.001953125,25,0,0,0,0,0.5638129999999997,25,24.727944315760393,22.552519999999987
c7e22c1f,1790072125997,1010.98193359375,25,0,0,0,0,0.5192809999999994,25,24.728433980152534,20.77123999999998
