camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
06e9e5b9,35,1790072085436,637722449131932,4,2,52.5,20.5,0.292262,1.301267,3.859323,2.265794,38.868857
c7e22c1f,47,1790072085442,637722455724681,3,1,40.3,23.5,0.216532,4.326102,6.964418,2.421784,51.169011
e0606b55,37,1790072085442,637722455886433,2,1,41.9,43.5,0.201216,0.812401,3.104412,2.090795,38.902317
b1269e28,32,1790072085450,637722463532924,7,3,114.2,71.3,0.460218,1.274524,6.01792,4.283178,45.684997
d1f37ed1,35,1790072085454,637722467621727,1,0,26,17,0.070407,3.456878,4.327965,0.80068,50.501872
1ac2ffac,41,1790072085465,637722478470981,1,0,8.8,22.4,0.113047,3.723035,5.207143,1.371061,36.006824
c7e22c1f,48,1790072085465,637722478823533,3,1,40.3,23.5,0.210412,2.654892,4.431568,1.566264,23.098852
d1f37ed1,36,1790072085470,637722483243795,1,0,26,17,0.092742,4.324536,5.011207,0.593929,15.622068
e0606b55,38,1790072085475,637722488749479,2,1,41.9,43.5,0.198051,0.443523,1.561738,0.920164,32.863046
06e9e5b9,36,1790072085482,637722495607461,4,2,52.5,20.5,0.2429,4.437817,7.090165,2.409448,46.475529
1ac2ffac,42,1790072085502,637722515687583,1,0,19.7,19.2,0.205491,1.883529,2.933432,0.844412,37.216602
e0606b55,39,1790072085507,637722520979840,2,1,37.9,1.6,0.255193,0.24481,1.461143,0.96114,32.230361
c7e22c1f,49,1790072085513,637722526918267,3,1,40.3,23.5,0.339547,4.056329,5.927915,1.532039,48.094734
06e9e5b9,37,1790072085524,637722537214566,4,2,81.3,35.7,0.326844,4.039286,5.627349,1.261219,41.607105
b1269e28,33,1790072085536,637722549918078,7,3,114.2,71.3,0.61169,4.112269,8.010581,3.286622,86.385154
d1f37ed1,37,1790072085537,637722550155027,1,0,26,17,0.09057,3.826197,5.865605,1.948838,66.911232
1ac2ffac,43,1790072085557,637722570115630,1,0,19.7,19.2,0.141231,3.560963,5.233619,1.531425,54.428047
c7e22c1f,50,1790072085557,637722570476796,3,1,38.1,63.5,0.286023,2.360061,4.432806,1.786722,43.558529
d1f37ed1,38,1790072085557,637722570601082,1,0,26,17,0.099577,2.046229,3.857973,1.712167,20.446055
06e9e5b9,38,1790072085563,637722576242807,4,2,81.3,35.7,0.408476,4.995361,7.609255,2.205418,39.028241
b1269e28,34,1790072085564,637722577327915,7,3,114.2,71.3,0.636304,1.222738,4.720284,2.861242,27.409837
e0606b55,40,1790072085568,637722581947618,2,1,37.9,1.6,0.521073,5.033372,6.574842,1.020397,60.967778
1ac2ffac,44,1790072085589,637722602177030,1,0,19.7,19.2,0.16041,5.035884,5.875752,0.679458,32.0614
c7e22c1f,51,1790072085604,637722617962113,3,1,38.1,63.5,0.326076,1.604669,3.051658,1.120913,47.485317
e0606b55,42,1790072085616,637722629106269,2,1,26.6,3.8,0.312848,0.989223,3.084661,1.78259,47.158651
